# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
135,VSSIO8,-,-,-,-,-,-,-,-
136,TDI,40,-,-,-,-,R5,T13,R11
137,TMS,40,-,-,-,-,U5,V13,T11
138,VCCIO8,-,-,-,-,-,-,-,-
139,VCC,-,-,-,-,-,-,-,-
140,VCC,-,-,-,-,-,-,-,-
141,VSS,-,-,-,-,-,-,-,-
142,VSS,-,-,-,-,-,-,-,-
143,VCC,-,-,-,-,-,-,-,-
144,VCC,-,-,-,-,-,-,-,-
145,GND,-,-,-,-,-,-,-,-
146,GND,-,-,-,-,-,-,-,-
147,RESERVED,-,-,-,-,-,W4,V12,-
148,GND,-,-,-,-,-,T7,U12,-
149,RESERVED,-,-,-,-,-,W5,V11,-
150,GND,-,-,-,-,-,-,-,-
151,GND,-,-,-,-,-,-,-,-
152,GND,-,-,-,-,-,Y5,V9,-
153,GND,-,-,-,-,-,-,-,-
154,GND,-,-,-,-,-,T8,U8,-
155,GND,-,-,-,-,-,Y6,V8,-
156,GND,-,-,-,-,-,-,-,-
157,GND,-,-,-,-,-,-,-,-
158,GND,-,-,-,-,-,Y7,V6,-
159,GND,-,-,-,-,-,-,-,-
160,GND,-,-,-,-,-,T9,U6,-
161,GND,-,-,-,-,-,Y8,V5,-
162,GND,-,-,-,-,-,-,-,-
163,GND,-,-,-,-,-,-,-,-
164,RESERVED,-,-,-,-,-,W8,V3,-
165,GND,-,-,-,-,-,T10,T5,-
166,RESERVED,-,-,-,-,-,W9,V2,-
167,GND,-,-,-,-,-,-,-,-
168,GND,-,-,-,-,-,-,-,-
169,RESERVED,-,-,-,-,-,W10,-,-
170,GND,-,-,-,-,-,-,-,-
171,RESERVED,-,-,-,-,-,W11,-,-
172,GND,-,-,-,-,-,-,-,-
173,GND,-,-,-,-,-,-,-,-
174,GND,-,-,-,-,-,Y11,U1,-
175,GND,-,-,-,-,-,-,-,-
176,GND,-,-,-,-,-,Y12,T1,-
177,VCC,-,-,-,-,-,-,-,-
178,VSS,-,-,-,-,-,-,-,-
